year,name,rank,citizenship,countrycode,networthusbillion,selfmade,typeofwealth,gender,age,industry,IndustryAggregates,region,north,politicalconnection,founder,generationofinheritance,sector,company,companytype,relationshiptocompany,foundingdate,gdpcurrentus,sourceofwealth,notes,notes2,source,source_2,source_3,source_4
2014,Anita Zucker,663,United States,USA,2.6,inherited,inherited,female,62,Non-consumer industrial,Traded Sectors,North America,1,,0,spouse or widow,retail,Hudson's Bay Company,privatization,relation,1670,,chemicals,"widowed, took over company from husband",first woman to chair,http://en.wikipedia.org/wiki/Anita_Zucker,http://en.wikipedia.org/wiki/Hudson%27s_Bay_Company,http://www.nytimes.com/2008/04/18/business/18zucker.html,
2014,Cristina Green,663,United Kingdom,GBR,2.6,self-made,executive,female,,"Retail, Restaurant",Non-Traded Sectors,Europe,1,,0,0,fashion retail,Arcadia,aquired,owner,1903,,,,,http://en.wikipedia.org/wiki/Arcadia_Group,http://www.forbes.com/profile/philip-cristina-green/,,
2014,Daniel Mate,663,Spain,ESP,2.6,self-made,privatized and resources,male,50,Mining and metals,Resource Related,Europe,1,,0,0,mining,Glencore Xstrata,new,leadership,1974,,Glencore International,joined glencore in 1991,,http://www.forbes.com/profile/daniel-mate/,,,
2014,Danil Khachaturov,663,Russia,RUS,2.6,self-made,privatized and resources,male,42,Hedge funds,Financial,Europe,0,,0,0,insurance,Rosgosstrakh,privatization,chairman,1921,,"insurance, banking, real estate",privitized in 2003,,http://www.forbes.com/profile/danil-khachaturov/,"Rich are getting much richer in Russia; Soaring markets boost oligarchs' wealth The Globe and Mail (Canada) April 21, 2006 Friday",,
2014,Edson de Godoy Bueno,663,Brazil,BRA,2.6,self-made,founder non-finance,male,70,Real Estate,Financial,Latin America,0,,1,0,healthcare management,Amil,new,founder,1972,,"hospitals, health care",,,http://www.forbes.com/profile/edson-de-godoy-bueno/,http://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapid=38610394,,
2014,Emilio Azcarraga Jean,663,Mexico,MEX,2.6,inherited,inherited,male,46,Media,Non-Traded Sectors,Latin America,0,,0,inherited from father,media,Grupo Televisa,new,relation,1955,,media,inherited from father,,http://en.wikipedia.org/wiki/Emilio_Azc%C3%A1rraga_Jean,http://en.wikipedia.org/wiki/Televisa,http://www.nytimes.com/1997/04/18/business/emilio-azcarraga-milmo-billionaire-who-ruled-mexican-broadcasting-is-dead-at-66.html,
2014,Helmut Sohmen,663,Austria,AUT,2.6,inherited,inherited,male,74,Other,Traded Sectors,Europe,1,,0,inherited from father,shipping,BW Group,new,relation,1955,,shipping,inherited from father in law,,http://en.wikipedia.org/wiki/Helmut_Sohmen,http://en.wikipedia.org/wiki/Yue-Kong_Pao,http://articles.latimes.com/1991-09-24/news/mn-3174_1_hong-kong,
2014,"Herbert Allen, Jr.",663,United States,USA,2.6,inherited,inherited,male,74,Money Management,Financial,North America,1,,0,inherited from father,investment banking,Allen & Company,new,relation,1922,,investment banking,inherited from father,,"http://en.wikipedia.org/wiki/Herbert_Allen,_Jr.",http://www.forbes.com/profile/herbert-allen-jr/,,
2014,Hui Lin Chit,663,China,CHN,2.6,self-made,founder non-finance,male,61,Consumer,Traded Sectors,East Asia,0,,1,0,diapers,Hengan Internationl Group Company Limited,new,founder,1985,,hygiene products,,,http://en.wikipedia.org/wiki/Hengan_International,http://www.hengan.com/en/intro/history/,http://www.hengan.com/en/intro/team/,
2014,Jason Chang,663,Singapore,SGP,2.6,self-made,founder non-finance,male,69,Technology-Computer,New Sectors,East Asia,0,,1,0,electronics,Advanced Semiconductor Engineering,new,founder,1984,,electronics,,,http://www.forbes.com/profile/jason-chang/,http://www.aseglobal.com/en/About/Milestones.asp,,
2014,Maria Luisa Solari Falabella,663,Chile,CHL,2.6,inherited,inherited,female,73,"Retail, Restaurant",Non-Traded Sectors,Latin America,0,,0,Fourth generation,retail,SACI Falabella,new,relation,1889,,retail,4th generation,holds significant stake in company along with daughter,http://www.forbes.com/profile/maria-luisa-solari-falabella-family/,,,
2014,Mark Cuban,663,United States,USA,2.6,self-made,founder non-finance,male,55,Media,Non-Traded Sectors,North America,1,,1,0,web broadcasting,Broadcast.com,new,founder,1995,,online media,also founded Microsolutions in 1983,,http://en.wikipedia.org/wiki/Mark_Cuban,"http://content.time.com/time/nation/article/0,8599,1859909,00.html",,
2014,Martin Viessmann,663,Germany,DEU,2.6,inherited,inherited,male,60,Non-consumer industrial,Traded Sectors,Europe,1,,0,Third generation,heating systems,Viessmann Group,new,relation,1917,,heating equipment,3rd generation,,http://en.wikipedia.org/wiki/Viessmann,,,
2014,Pan Zhengmin,663,China,CHN,2.6,self-made,founder non-finance,male,44,Technology-Computer,New Sectors,East Asia,0,,1,0,electronics,AAC Technologies,new,founder,1993,,electronics,,,http://www.forbes.com/profile/pan-zhengmin/,http://www.aactechnologies.com/company-overview/board-members,,
2014,Patrick Lee,663,Hong Kong,HKG,2.6,self-made,founder non-finance,male,72,Consumer,Traded Sectors,East Asia,0,,1,0,paper,Lee & Man Paper Manufacturing,new,founder,1994,,paper,,,http://www.forbes.com/profile/patrick-lee/,http://www.leemanpaper.com/eng/company/milestonetest.jsp,,
2014,Philip Green,663,United Kingdom,GBR,2.6,self-made,executive,male,,"Retail, Restaurant",Non-Traded Sectors,Europe,1,,0,0,fashion retail,Arcadia,aquired,owner,1903,,,,,http://en.wikipedia.org/wiki/Arcadia_Group,http://www.forbes.com/profile/philip-cristina-green/,,
2014,Reinhold Schmieding,663,United States,USA,2.6,self-made,founder non-finance,male,59,Technology-Medical,New Sectors,North America,1,,1,0,medical supplies,Arthrex Inc,new,founder,1981,,medical devices,,,http://en.wikipedia.org/wiki/Arthrex,http://www.forbes.com/sites/susanadams/2013/09/18/the-secretive-sultan-of-sports-medicine-meet-the-billionaire-behind-arthrex/,,
2014,Richard Rainwater,663,United States,USA,2.6,self-made,self-made finance,male,69,Real Estate,Financial,North America,1,,1,0,hedge funds, ENSCO International,new,founder,1986,,"real estate, energy, insurance",,,http://en.wikipedia.org/wiki/Richard_Rainwater,http://fortune.com/2015/09/28/richard-rainwater-obituary/,,
2014,Sean Parker,663,United States,USA,2.6,self-made,founder non-finance,male,34,Technology-Computer,New Sectors,North America,1,,1,0,internet companies,"Napster, Plaxo, Airtime",new,founder,1999,,Facebook,also first president of Facebook,,http://en.wikipedia.org/wiki/Sean_Parker,"Napster founder sets out to disrupt philanthropy; Sean Parker is planning to spend his fortune on ventures with big ideas; Sean Parker plans to spend his fortune disrupting philanthropy The San Francisco Chronicle (California) June 24, 2015 Wednesday",,
2014,Sze Man Bok,663,China,CHN,2.6,self-made,founder non-finance,male,64,Consumer,Traded Sectors,East Asia,0,,1,0,diapers,Hengan Internationl Group Company Limited,new,founder,1985,,hygiene products,,,http://en.wikipedia.org/wiki/Hengan_International,http://www.hengan.com/en/intro/history/,http://www.hengan.com/en/intro/team/,
2014,Torbjorn Tornqvist,663,Sweden,SWE,2.6,self-made,privatized and resources,male,60,Energy,Resource Related,Europe,1,,1,0,oil trading,Gunvor Group,new,founder,1997,,oil trading,,,http://gunvorgroup.com/,http://en.wikipedia.org/wiki/Gunvor_(company),"LNG Ltd's Gunvor deal in doubt Australian Financial Review March 25, 2014 Tuesday",
2014,Ty Warner,663,United States,USA,2.6,self-made,self-made finance,male,69,Real Estate,Financial,North America,1,,1,0,toys,Ty Inc.,new,founder,1986,,"real estate, plush toys",,,http://en.wikipedia.org/wiki/Ty_Warner,http://www.chicagomag.com/Chicago-Magazine/May-2014/Ty-Warner/,,
2014,Vasily Anisimov,663,Russia,RUS,2.6,self-made,privatized and resources,male,62,Mining and metals,Resource Related,Europe,0,,0,0,real estate and metals,Metalloinvest/Coalco,new,investor,1999,,"metals, real estate",,,http://www.forbes.com/profile/vasily-anisimov/,"From Russia with love: Cambrian sells its Mount Gibson stake The Australian (Australia) November 14, 2006 Tuesday","Russia and the Rams Oligarchy: How the Rams, cheap oil and the Ukrainian war all fit together St. Louis Post-Dispatch (Missouri) March 1, 2015 Sunday",
2014,Vladimir Bogdanov,663,Russia,RUS,2.6,self-made,privatized and resources,male,62,Energy,Resource Related,Europe,0,,0,0,oil,Surgutneftegaz,privatization,president,1993,,oil,,,http://en.wikipedia.org/wiki/Vladimir_Bogdanov,http://en.wikipedia.org/wiki/Surgutneftegaz,"Putin pours billions into Venezuela Australian Financial Review April 6, 2010 Tuesday",
2014,Yasumitsu Shigeta,663,Japan,JPN,2.6,self-made,founder non-finance,male,49,Media,Non-Traded Sectors,East Asia,1,,1,0,mobile phones,Hikari Tsushin,new,founder,1988,,mobile telecom,"Had $42 billion in 1999, lost most of it in dot-com crash",,http://www.forbes.com/profile/yasumitsu-shigeta/,,,
2014,Abdulla Al Futtaim,687,United Arab Emirates,ARE,2.5,inherited,inherited,male,,"Retail, Restaurant",Non-Traded Sectors,Middle East/North Africa,0,,0,inherited from father,trading,Al-Futtaim Group,new,relation,1930,,"auto dealers, investments",company split between him and cousin in 2000,,http://en.wikipedia.org/wiki/Al-Futtaim_Group,http://www.al-futtaim.ae/content/groupProfile.asp,,
2014,Aristotelis Mistakidis,687,Greece,GRC,2.5,self-made,privatized and resources,male,52,Mining and metals,Resource Related,Europe,1,,0,0,mining,Glencore Xstrata,new,"co-director of zinc, copper and lead",1974,,Glencore International,joined glencore in 1993,,http://www.forbes.com/profile/daniel-mate/,,,
2014,Belmiro de Azevedo,687,Portugal,PRT,2.5,self-made,executive,male,75,"Retail, Restaurant",Non-Traded Sectors,Europe,1,,0,0,retail,Sonae SGPS,aquired,chairman,1959,,retail,nationalized in 1974 and reprivitized later,,http://en.wikipedia.org/wiki/Sonae,http://www.fchampalimaud.org/en/the-foundation/our-founder/,,
2014,Bernardo Matte,687,Chile,CHL,2.5,inherited,inherited,male,58,Consumer,Traded Sectors,Latin America,0,,0,inherited from father,timber and paper,CMPC,new,relation,1920,,paper,inherited from father,,http://es.wikipedia.org/wiki/Bernardo_Matte,http://es.wikipedia.org/wiki/Empresas_CMPC,,
2014,Bernd Freier,687,Germany,DEU,2.5,self-made,founder non-finance,male,57,"Retail, Restaurant",Non-Traded Sectors,Europe,1,,1,0,fashion,s.Oliver,new,founder,1969,,retail,,,http://en.wikipedia.org/wiki/S.Oliver,http://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapid=5505468,,
2014,Charles Dunstone,687,United Kingdom,GBR,2.5,self-made,founder non-finance,male,50,Consumer,Traded Sectors,Europe,1,,1,0,cell phones,The Carphone Warehouse,new,founder,1989,,mobile phones,,,http://en.wikipedia.org/wiki/Charles_Dunstone,http://www.dixonscarphone.com/about-dixons-carphone/history,,
2014,Chey Tae-Won,687,South Korea,KOR,2.5,inherited,inherited,male,53,Consumer,Traded Sectors,East Asia,1,,0,inherited from father,"petrochemicals, textiles",SK Corporation,new,chariman,1958,,SK,currently serving a four year prison sentence for embezzlement,inherited from father,http://en.wikipedia.org/wiki/Chey_Tae-won,http://www.sk.com/About/history/6,,
2014,Clive Calder,687,United Kingdom,GBR,2.5,self-made,founder non-finance,male,67,Media,Non-Traded Sectors,Europe,1,,1,0,music,Zomba Group,new,founder,1975,,record label,,,http://en.wikipedia.org/wiki/Clive_Calder,http://www.forbes.com/profile/clive-calder/,,
2014,Dan Friedkin,687,United States,USA,2.5,inherited,inherited,male,49,"Retail, Restaurant",Non-Traded Sectors,North America,1,,0,inherited from father,automobiles,Gulf States Toyota Distributors,new,relation,1969,,Toyota distribution,inherited from father,,http://en.wikipedia.org/wiki/Thomas_H._Friedkin,http://www.forbes.com/profile/dan-friedkin/,,
2014,Dan Gertler,687,Israel,ISR,2.5,self-made,privatized and resources,male,40,Mining and metals,Resource Related,Middle East/North Africa,0,1,1,0,mining,DGI Group,new,founder,1996,,mining,buys mining rights directly from Congolese government,,http://en.wikipedia.org/wiki/Dan_Gertler,http://www.theguardian.com/business/2012/dec/09/enrc-congo-mining-billionaire,http://www.forbes.com/profile/dan-gertler/,
2014,David Cheriton,687,Canada,CAN,2.5,self-made,executive,male,62,Technology-Computer,New Sectors,North America,1,,0,0,venture capitalist,Google,new,investor,1998,,Google,One of google's first investors,,http://en.wikipedia.org/wiki/David_Cheriton,http://www.forbes.com/profile/david-cheriton/,,
2014,Eduardo Belmont Anderson,687,Peru,PER,2.5,self-made,founder non-finance,male,68,Consumer,Traded Sectors,Latin America,0,,1,0,cosmetics,Belcorp,new,founder,1988,,cosmetics,,,http://www.forbes.com/profile/eduardo-belmont-anderson/,http://www.forbes.com/sites/ivancastano/2012/11/02/perus-feuding-beauty-brothers-join-forbes-billionaire-ranks/#489144ff33a2,,
2014,Eliodoro Matte,687,Chile,CHL,2.5,inherited,inherited,male,68,Consumer,Traded Sectors,Latin America,0,,0,inherited from father,timber and paper,CMPC,new,relation,1920,,paper,inherited from father,,http://es.wikipedia.org/wiki/Bernardo_Matte,,,
2014,Ennio Doris,687,Italy,ITA,2.5,self-made,self-made finance,male,73,Money Management,Financial,Europe,1,,1,0,asset management,Mediolanum SpA,new,founder,1982,,insurance,,,http://en.wikipedia.org/wiki/Ennio_Doris,http://www.forbes.com/lists/2008/10/billionaires08_Ennio-Doris-family_SZWE.html,,
2014,Folorunsho Alakija,687,Nigeria,NGA,2.5,self-made,privatized and resources,female,63,Energy,Resource Related,Sub-Saharan Africa,0,1,1,0,fashion/oil,Famfa Limited,new,founder,1991,,oil,"fashion company included clients such as the former first lady, which helped her get an oil prospecting liscense in 1993",,http://en.wikipedia.org/wiki/Folorunsho_Alakija,http://www.famfa.com/,"The other side of Africa: number of billionaires has tripled; Survey of continent's super-rich comes as World Bank hails its fast-growing economies growth The Independent (London) October 9, 2013 Wednesday",
2014,Francisco Jose Riberas Mera,687,Spain,ESP,2.5,inherited,inherited,male,49,Non-consumer industrial,Resource Related,Europe,1,,0,inherited from father,steel,Corporation Gestamp SL,new,relation,1958,,steel,inherited from father,,http://www.forbes.com/profile/francisco-jose-riberas-mera/,,,
2014,H. Wayne Huizenga,687,United States,USA,2.5,self-made,self-made finance,male,76,Diversified financial,Financial,North America,1,,1,0,waste management,Waste Management,new,founder,1968,,investments,Also aquired blockbuster in 1987,,http://en.wikipedia.org/wiki/Wayne_Huizenga,"HUIZENGA PATRIARCH, 'UNCLE HARRY,' DIES The Miami Herald September 1, 2001 Saturday BROWARD EDITION",,
2014,Henry Hillman,687,United States,USA,2.5,inherited,inherited,male,95,Diversified financial,Financial,North America,1,,0,inherited from father,coal,Pittsburgh Coke & Chemical ,new,relation,1942,,investments,inherited from father,,http://www.forbes.com/profile/henry-hillman/,http://en.wikipedia.org/wiki/Calgon_Carbon,,
2014,Hubert Burda,687,Germany,DEU,2.5,inherited,inherited,male,74,Media,Non-Traded Sectors,Europe,1,,0,inherited from father,media,Hubert Burda Media,new,relation,1898,,publishing,company expanded between 1898 and 1945,,http://en.wikipedia.org/wiki/Hubert_Burda_Media,http://www.nytimes.com/1986/10/02/obituaries/franz-burda-publisher-dies-built-european-print-empire.html,,
2014,Jack Dangermond,687,United States,USA,2.5,self-made,founder non-finance,male,68,Technology-Computer,New Sectors,North America,1,,1,0,software,Environmental Systems Research Institute,new,founder,1969,,mapping software,,,http://en.wikipedia.org/wiki/Jack_Dangermond,http://www.forbes.com/profile/jack-dangermond/,"Father of GIS; Jack Dangermond says geographic information systems can change world for the better. By Kenneth James The Business Times Singapore November 6, 2010 Saturday",
2014,Jeff Greene,687,United States,USA,2.5,self-made,self-made finance,male,59,Real Estate,Financial,North America,1,,1,0,real estate,,,founder,,,"real estate, investments",made the bulk of his fortune buying credit-default swaps on subprime mortgage-backed bonds in 2007,,http://online.wsj.com/news/articles/SB120036270913390155,,,
2014,"John Dorrance, III.",687,Ireland,IRL,2.5,inherited,inherited,male,70,Consumer,Traded Sectors,Europe,1,,0,Third generation,soup,Campbell Soup,aquired,relation,1869,,Campbell Soup,3rd generation,,http://en.wikipedia.org/wiki/Campbell_Soup_Company,http://www.campbellsoupcompany.com/about-campbell/,,
2014,Juan Maria Riberas Mera,687,Spain,ESP,2.5,inherited,inherited,male,,Non-consumer industrial,Resource Related,Europe,1,,0,inherited from father,steel,Corporation Gestamp SL,new,relation,1958,,steel,inherited from father,,http://www.forbes.com/profile/francisco-jose-riberas-mera/,,,
2014,Juan-Miguel Villar Mir,687,Spain,ESP,2.5,self-made,executive,male,82,Constrution,Non-Traded Sectors,Europe,1,,0,0,construction,Obrascon Huarte Lain S.A.,aquired,Chairman and Chief Executive Officer,1911,,construction,bought for one penny in 1987,,http://www.forbes.com/profile/juan-miguel-villar-mir/,http://en.wikipedia.org/wiki/Obrasc%C3%B3n_Huarte_Lain,,
2014,Kjell Inge Rokke,687,Norway,NOR,2.5,self-made,executive,male,55,Other,0,Europe,1,,0,0,oil,Aker Soulutions ASA,aquired,owner,1841,,"shipping, seafood",first fortune in shipping,,http://en.wikipedia.org/wiki/Aker_Solutions,http://www.forbes.com/profile/kjell-inge-rokke/,"COMEBACK BILLIONAIRE;A shipping magnate enjoys a revival. So does his Phila. yard. The Philadelphia Inquirer APRIL 25, 2005 Monday CITY-D EDITION",
2014,Madeleine Olsson Ericksson,687,Sweden,SWE,2.5,inherited,inherited,female,69,Diversified financial,Financial,Europe,1,,0,inherited from father,shipping,Stena Sphere,new,relation,1939,,diversified,inherited from father,24.5% share,http://en.wikipedia.org/wiki/Stena_Sphere,http://www.forbes.com/profile/madeleine-olsson-ericksson/,,
2014,Michael Milken,687,United States,USA,2.5,self-made,self-made finance,male,67,Diversified financial,Financial,North America,1,,0,0,investment banking,Drexel Burnham Lambert,new,head of high-yield bond trading dept,1935,,investments,led to the downfall of the company due to his insider trading and illegal activities,,http://en.wikipedia.org/wiki/Michael_Milken,http://www.nytimes.com/1990/04/26/opinion/michael-milken-s-guilt.html,http://www.bloomberg.com/graphics/2015-drexel-burnham-oral-history/,
2014,Min Kao,687,United States,USA,2.5,self-made,founder non-finance,male,65,Technology-Computer,New Sectors,North America,1,,1,0,GPS technology,Garmin,new,founder,1989,,navigation equipment,,,http://en.wikipedia.org/wiki/Garmin,http://www.garmin.com/en-US/company/leadership/min-kao/,"The empty halls of Gateway;Company to cut 1,400 jobs in U.S., pare KC operation The Kansas City Star August 17, 2004 Tuesday 1 EDITION",
2014,Mochtar Riady,687,Indonesia,IDN,2.5,self-made,self-made finance,male,84,Diversified financial,Financial,East Asia,0,,1,0,banking,Lippo Group,new,founder,1948,,diversified,,,http://en.wikipedia.org/wiki/Mochtar_Riady,http://en.wikipedia.org/wiki/Bank_Lippo,http://www.forbes.com/profile/mochtar-riady/,http://indonesianbanks.blogspot.hk/2007/11/bank-lippo.html
2014,Neil Bluhm,687,United States,USA,2.5,self-made,self-made finance,male,76,Real Estate,Financial,North America,1,,1,0,real estate,JMB Realty,new,founder,1969,,real estate,,,http://en.wikipedia.org/wiki/Neil_Bluhm,http://www.forbes.com//forbes/2000/1016/6611092a.html?partner=whiteglove_google,"Chicago's Bluhm bets on new Niagara Falls casino Chicago Sun-Times June 11, 2004 Friday",
2014,Pang Kang,687,China,CHN,2.5,self-made,executive,male,58,Consumer,Traded Sectors,East Asia,0,,0,0,soy sauce,Foshan Haitian Flavoring and Food,new,chairman,1720,,flavorings,,,http://en.wikipedia.org/wiki/Foshan_Haitian_Flavouring_%26_Food_Co,http://online.wsj.com/news/articles/SB10001424052702303650204579375783245738234,,
2014,Patricia Matte,687,Chile,CHL,2.5,inherited,inherited,female,70,Consumer,Traded Sectors,Latin America,0,,0,inherited from father,timber and paper,CMPC,new,relation,1920,,paper,inherited from father,,http://es.wikipedia.org/wiki/Bernardo_Matte,,,
2014,Philip Niarchos,687,Greece,GRC,2.5,inherited,inherited,male,60,Other,0,Europe,1,,0,inherited from father,shipping,Niarchos Ltd,new,relation,1952,,art collection,inherited from father,,http://en.wikipedia.org/wiki/Philip_Niarchos,http://en.wikipedia.org/wiki/Stavros_Niarchos,,
2014,Phillip Ruffin,687,United States,USA,2.5,self-made,self-made finance,male,78,Real Estate,Financial,North America,1,,0,0,casinos, New Frontier Hotel and Casino,aquired,owner,1942,,"casinos, real estate",,,http://en.wikipedia.org/wiki/New_Frontier_Hotel_and_Casino,http://www.nbcnews.com/id/21760491/,http://www.forbes.com/profile/phillip-ruffin/,
2014,Shigenobu Nagamori,687,Japan,JPN,2.5,self-made,founder non-finance,male,69,Consumer,Traded Sectors,East Asia,1,,1,0,electronics,Nidec,new,founder,1973,,motors,,,http://www.nidec.com/en-NA/corporate/about/history/all/1970/,,,
2014,Siegfried Meister,687,Germany,DEU,2.5,self-made,founder non-finance,male,76,Consumer,Traded Sectors,Europe,1,,1,0,kitchen appliances,Rational AG,new,founder,1973,,appliances,,,http://www.forbes.com/profile/siegfried-meister/,http://www.bloomberg.com/research/stocks/people/person.asp?personId=7986529&privcapId=5577768,,
2014,Stefan Olsson,687,Sweden,SWE,2.5,inherited,inherited,male,65,Diversified financial,Financial,Europe,1,,0,inherited from father,shipping,Stena Sphere,new,relation,1939,,diversified,inherited from father,24.5% share,http://en.wikipedia.org/wiki/Stena_Sphere,http://www.forbes.com/profile/madeleine-olsson-ericksson/,,
2014,Teddy Sagi,687,Israel,ISR,2.5,self-made,founder non-finance,male,42,"Retail, Restaurant",Non-Traded Sectors,Middle East/North Africa,0,,1,0,gambling software,Playtech,new,founder,1999,,gambling software,,,http://www.forbes.com/profile/teddy-sagi/,http://www.ibtimes.co.uk/teddy-sagi-israeli-billionaire-bachelor-who-has-just-saved-spread-betters-plus500-500m-1503926,,
2014,Timothy Headington,687,United States,USA,2.5,self-made,privatized and resources,male,63,Energy,Resource Related,North America,1,,1,0,oil,Headington Oil,new,founder,1978,,"oil & gas, investments",,,http://en.wikipedia.org/wiki/Timothy_Headington,http://www.texasmonthly.com/list/telling-fortunes/no-27-timothy-headington/,,
2014,Valery Kogan,687,Russia,RUS,2.5,self-made,self-made finance,male,62,Real Estate,Financial,Europe,0,,0,0,airport,East Line Group,new,investor,1992,,airport,,,http://www.forbes.com/profile/valery-kogan/,http://en.wikipedia.org/wiki/East_Line_Group,"Uneasy Mix Of Contrasts At Airports Of Moscow The New York Times January 30, 2002 Wednesday",
2014,Warren Stephens,687,United States,USA,2.5,inherited,inherited,male,57,Money Management,Financial,North America,1,,0,inherited from father,financial services,Stephans Inc.,new,relation,1933,,investment banking,inherited from uncle and father,,http://en.wikipedia.org/wiki/Warren_Stephens,"Stephens: Out of `void,' into future He sees investment business his family built only growing Arkansas Democrat-Gazette (Little Rock) September 13, 2006 Wednesday Correction Appended",,
2014,William Erbey,687,United States,USA,2.5,self-made,self-made finance,male,64,Money Management,Financial,North America,1,,0,0,mortgages,Ocwen Financial,new,executive chairman,1988,,finance,,,http://www.forbes.com/sites/liyanchen/2013/11/27/the-new-subprime-bet-how-bill-erbey-built-a-2-8-billion-fortune-by-getting-inside-homeowners-heads/,http://en.wikipedia.org/wiki/Ocwen,,
2014,William Fung,687,Hong Kong,HKG,2.5,inherited,inherited,male,65,Other,0,East Asia,0,,0,Third generation,supply chain,Li & Fung Group,new,relation,1906,,sourcing,3rd generation,,http://en.wikipedia.org/wiki/William_Fung,http://en.wikipedia.org/wiki/Li_%26_Fung,,
2014,"William Wrigley, Jr.",687,United States,USA,2.5,inherited,inherited,male,50,Consumer,Traded Sectors,North America,1,,0,Fourth generation,gum,Wm Wrigley Jr. Company,new,relation,1891,,chewing gum,fourth generation,,"http://en.wikipedia.org/wiki/William_Wrigley,_Jr.","Wrigley son best known for his bold career moves Chicago Tribune April 29, 2008 Tuesday",,
2014,Abdullah Al Rajhi,731,Saudi Arabia,SAU,2.4,self-made,self-made finance,male,,Money Management,Financial,Middle East/North Africa,0,,1,0,Banking,Al Rajhi bank,new,founder,1957,,banking,,,http://en.wikipedia.org/wiki/Al-Rajhi_Bank,http://www.alrajhibank.com.sa/ar/investor-relations/pages/default.aspx,http://www.alrajhibank.com.sa/ar/about-us/pages/board-of-directors.aspx,
2014,Andrej Babis,731,Czech Republic,CZE,2.4,self-made,executive,male,59,Consumer,Traded Sectors,Europe,0,,0,0,agriculteral,Agrofert,new,owner and former CEO,1993,,agriculture,,,http://en.wikipedia.org/wiki/Andrej_Babi%C5%A1,http://en.wikipedia.org/wiki/Agrofert,http://www.agrofert.cz/o-agrofertu,
2014,Barry Diller,731,United States,USA,2.4,self-made,executive,male,72,Media,Non-Traded Sectors,North America,1,,0,0,media,IAC ,new,Chairman and Chief Executive Officer,1986,,online media,,,http://en.wikipedia.org/wiki/Barry_Diller,http://www.forbes.com/profile/barry-diller/,"VIVENDI TO ENLIST DILLER AS CO-CEO;STRUGGLING MEDIA GIANT TRIES TO FIND FOOTING Orlando Sentinel (Florida) November 13, 2002 Wednesday, FINAL",
2014,Bharat Desai,731,United States,USA,2.4,self-made,founder non-finance,male,61,"Retail, Restaurant",Non-Traded Sectors,North America,1,,1,0,IT Consulting,Syntel,new,founder,1980,,outsourcing,,,http://www.forbes.com/profile/bharat-desai/,http://www.bloomberg.com/research/stocks/people/person.asp?personId=220876&privcapId=220874,,
2014,Brijmohan Lall Munjal,731,India,IND,2.4,self-made,founder non-finance,male,90,Consumer,Traded Sectors,South Asia,0,,1,0,bicycles,Hero Group,new,founder,1947,,motorcycles,,,http://en.wikipedia.org/wiki/Brijmohan_Lall_Munjal,http://www.heromotocorp.com/en-in/about-us/the-chairman.html,,
2014,Carlos Ardila Lulle,731,Colombia,COL,2.4,inherited,inherited,male,83,Consumer,Traded Sectors,Latin America,0,,0,inherited from father,soft drinks,Organizacion Ardila Lulle,aquired,relation,1904,,"soft drinks, diversified",inherited from father-in-law,started working at his father in law's bottling company,http://en.wikipedia.org/wiki/Postob%C3%B3n,http://en.wikipedia.org/wiki/Carlos_Ardila_L%C3%BClle,,
2014,Edwin Leong,731,Hong Kong,HKG,2.4,self-made,self-made finance,male,62,Real Estate,Financial,East Asia,0,,1,0,real estate,Tai Hung Fai Enterprise,new,founder,1977,,real estate,,,http://www.forbes.com/profile/edwin-leong/,http://zh.wikipedia.org/wiki/%E5%A4%A7%E9%B4%BB%E8%BC%9D%E8%88%88%E6%A5%AD,,
2014,Esther Grether,731,Switzerland,CHE,2.4,inherited,inherited,female,78,Consumer,Traded Sectors,Europe,1,,0,spouse or widow,beauty and health care products,Doetsch Grether,new,relation,1899,,"art collection, Swatch",widow,,http://en.wikipedia.org/wiki/Esther_Grether,http://www.forbes.com/profile/esther-grether/,,
2014,George Argyros,731,United States,USA,2.4,self-made,self-made finance,male,77,Real Estate,Financial,North America,1,,0,0,real estate, Arnel & Affiliates,new,investor,1969,,"real estate, investments",,,http://en.wikipedia.org/wiki/George_Argyros,http://www.arnel.com/,http://www.forbes.com/profile/george-argyros/,
2014,Henry Fong Yun Wah,731,Hong Kong,HKG,2.4,self-made,self-made finance,male,89,Real Estate,Financial,East Asia,0,,1,0,real estate,Hip Shing Hong Group,new,founder,1948,,real estate,,,http://www.forbes.com/profile/henry-fong-yun-wah/,http://www.hshd.com.hk/Milestones/Details,,
2014,Ingeburg Herz,731,Germany,DEU,2.4,inherited,inherited,female,92,Consumer,Traded Sectors,Europe,1,,0,spouse or widow,coffee,Maxingvest AG,new,relation,1949,,coffee,widow,,http://de.wikipedia.org/wiki/Maxingvest,http://www.tchibo.com/content/309018/-/de/ber-tchibo/historie.html,http://www.forbes.com/profile/daniela-herz/,
2014,Juan Abello,731,Spain,ESP,2.4,inherited,inherited,male,72,Diversified financial,Financial,Europe,1,,0,inherited from father,pharmaceuticals,Abello Laboratories,new,relation,1938,,investments,inherited from father,,http://es.wikipedia.org/wiki/Juan_Abell%C3%B3,http://www.alk-abello.com/US/aboutalk/companyoverview/history/Pages/welcome.aspx,,
