year,name,rank,citizenship,countrycode,networthusbillion,selfmade,typeofwealth,gender,age,industry,IndustryAggregates,region,north,politicalconnection,founder,generationofinheritance,sector,company,companytype,relationshiptocompany,foundingdate,gdpcurrentus,sourceofwealth,notes,notes2,source,source_2,source_3,source_4
2001,Ricardo Salinas Pliego,151,Mexico,MEX,3,inherited,inherited,male,45,"Retail, Restaurant",Non-Traded Sectors,Latin America,0,,0,Fourth generation,telecommunications,Grupo Salinas/Group Elektra,new,relation,1906,7.25E+11,,4th generation,,http://en.wikipedia.org/wiki/Ricardo_Salinas_Pliego,"LOS ANGELES TIMES INTERVIEW;  RICARDO SALINAS PLIEGO;  INVESTING IN MEXICO'S FUTURE--AND REAPING MILLIONS IN PROFIT Los Angeles Times July 12, 1998, Sunday,",,
2001,Riley Bechtel,151,United States,USA,3,inherited,inherited,male,48,Constrution,Non-Traded Sectors,North America,1,,0,Fourth generation,construction,Bechtel Corporation,new,relation and chairman,1898,1.06E+13,,4th generation,,http://en.wikipedia.org/wiki/Riley_P._Bechtel,http://en.wikipedia.org/wiki/Bechtel_Corporation,"Sales and Bookings Climb As Bechtel Bounces Back Construction giant predicts continued growth The San Francisco Chronicle APRIL 4, 1990, WEDNESDAY, FINAL EDITION",
2001,Robert Bass,151,United States,USA,3,inherited,inherited,male,53,Energy,Resource Related,North America,1,,0,inherited from father,oil,Sid Richardson Gasoline Co,new,relation,1919,1.06E+13,,inherited from uncle/father,,http://en.wikipedia.org/wiki/Robert_Bass,http://en.wikipedia.org/wiki/Sid_W._Richardson,http://www.dmagazine.com/publications/d-magazine/1995/november/power-who-runs-fort-worth,
2001,Saleh Kamel,151,Saudi Arabia,SAU,3,self-made,self-made finance,male,59,Money Management,Financial,Middle East/North Africa,0,,1,0,airport maintenance,Dallah al Baraka Group,new,founder,1969,1.83E+11,,,,http://en.wikipedia.org/wiki/Saleh_Abdullah_Kamel,"ISLAMIC BANKS TURN ATTENTION TO US MARKET The Guardian (London) April 9, 1994",,
2001,Stephen Bechtel,151,United States,USA,3,inherited,inherited,male,75,Constrution,Non-Traded Sectors,North America,1,,0,Fourth generation,construction,Bechtel Corporation,new,relation,1898,1.06E+13,,4th generation,,http://en.wikipedia.org/wiki/Riley_P._Bechtel,http://en.wikipedia.org/wiki/Bechtel_Corporation,"Sales and Bookings Climb As Bechtel Bounces Back Construction giant predicts continued growth The San Francisco Chronicle APRIL 4, 1990, WEDNESDAY, FINAL EDITION",
1996,Ciputra,152,Indonesia,IDN,2.3,self-made,self-made finance,male,0,Real Estate,Financial,East Asia,0,,1,0,real estate,Ciputra Development,new,founder,1961,2.27E+11,,,,http://en.wikipedia.org/wiki/Ciputra,http://www.ciputra.com/group-profile,,
2014,Ludwig Merckle,152,Germany,DEU,8.6,inherited,inherited,male,49,Technology-Medical,New Sectors,Europe,1,,0,Fourth generation,pharmaceuticals,Ratiopharm,new,relation,1881,,pharmaceuticals,4th generation,,"http://www.ratiopharm.de/unternehmen/geschichte.html, http://en.wikipedia.org/wiki/Adolf_Merckle",,,
2014,Antonia Johnson,153,Sweden,SWE,8.5,inherited,inherited,female,70,Diversified financial,Financial,Europe,1,,0,Fourth generation,trade investment,Axel Johnson Group,new,relation,1873,,diversified,4th generation,,http://en.wikipedia.org/wiki/Antonia_Ax:son_Johnson,http://www.forbes.com/profile/antonia-johnson/,,
2014,Donald Newhouse,153,United States,USA,8.5,inherited,inherited,male,84,Media,Non-Traded Sectors,North America,1,,0,inherited from father,media,Advance Publications,new,relation,1909,,media,inherited from father,,http://en.wikipedia.org/wiki/Donald_Newhouse,http://query.nytimes.com/gst/abstract.html?res=9A0DE0D71F39E732A25753C3A96E9C946890D6CF,http://archive.fortune.com/magazines/fortune/fortune_archive/1987/08/17/69427/index.htm,
2014,Galen Weston,153,Canada,CAN,8.5,inherited,inherited,male,73,"Retail, Restaurant",Non-Traded Sectors,North America,1,,0,Third generation,food distribution,George Weston Limited,new,relation,1882,,retail,3rd generation,,http://en.wikipedia.org/wiki/George_Weston_Limited,http://www.weston.ca/en/Our-history.aspx,,
2014,Hank & Doug Meijer,153,United States,USA,8.5,inherited,inherited,male,,"Retail, Restaurant",Non-Traded Sectors,North America,1,,0,Third generation,groceries,Meijer,new,relation,1934,,supermarkets,3rd generation,,http://en.wikipedia.org/wiki/Meijer,http://www.forbes.com/profile/hank-doug-meijer/,,
1996,Leonardo Del Vecchio,153,Italy,ITA,2.3,self-made,founder non-finance,male,60,Consumer,Traded Sectors,Europe,1,,1,0,glasses,?Luxottica,new,founder,1961,1.31E+12,,,,http://en.wikipedia.org/wiki/Leonardo_Del_Vecchio,http://www.forbes.com/profile/leonardo-del-vecchio/,,
2014,Michael Kadoorie,153,Hong Kong,HKG,8.5,inherited,inherited,male,72,Diversified financial,Financial,East Asia,0,,0,inherited from father,utilities,CLP Holdings,new,relation,1901,,diversified,inherited from father,,http://en.wikipedia.org/wiki/Michael_Kadoorie,http://en.wikipedia.org/wiki/Lord_Kadoorie,http://www.forbes.com/profile/michael-kadoorie/,https://www.clpgroup.com/en/about-clp/company-profile
1996,Michele Ferrero,154,Italy,ITA,2.3,self-made,executive,male,69,Consumer,Traded Sectors,Europe,1,,0,0,chocolates,Ferrero spa,new,relation,1946,1.31E+12,,relauched father's initial recepie for  hazelnut spread as Nutella,,http://en.wikipedia.org/wiki/Ferrero_SpA,http://www.bbc.com/news/business-31477547,,
1996,Eitaro Itoyama,155,Japan,JPN,2.3,self-made,self-made finance,male,53,Real Estate,Financial,East Asia,1,,0,0,golf courses,,,,,4.71E+12,,"1974 bribery scandal that resulted in the arrests of more than 90 people, including a senior vice president of Itoyama's company",,http://en.wikipedia.org/wiki/Eitaro_Itoyama,http://www.forbes.com/business/lists/2006/10/1UXL.html,,
